Hanzi	Pinyin	Tone	Translation
春天	chūntiān	11	весна
夏天	xiàtiān	41	лето
秋天	qiūtiān	11	осень
冬天	dōngtiān	11	зима
春季	chūnjì	14	весенний период
夏季	xiàjì	44	летний период
秋季	qiūjì	14	осенний период
冬季	dōngjì	14	зимний период
天	tiān	1	день, небо
季	jì	4	сезон
