Number	Hanzi	Pinyin	Tone	Translation
205	黽(黾)	mǐn	3	лягушка, жаба
206	鼎	dǐng	3	треножник, бронзовый сосуд для жертвоприношений
207	鼓	gǔ	3	барабан
208	鼠	shǔ	3	мышь, крыса
