Number	Hanzi	Pinyin	Tone	Translation
1	一	yī	1	один
2	丨	gǔn	3	вертикальная черта
3	丶	zhǔ	3	точка
4	丿	piě	3	откидная черта влево
5	乙	yǐ	3	второй (циклический знак), изогнутая черта
6	亅	jué	2	крюк
