Hanzi	Pinyin	Tone	Translation
吗	ma	0	вопросительная частица
妈	mā	1	мама
麻	má	2	конопля
马	mǎ	3	лошадь
骂	mà	4	ругать
山	shān	1	гора
水	shuǐ	3	вода
土	tǔ	3	земля
火	huǒ	3	огонь
气	qì	4	воздух
好	hǎo	3	хороший, хорошо
拼	pīn	1	соединять, произносить по слогам
音	yīn	1	звук, произношение
话	huà	4	речь, язык
词	cí	2	слово
