Number	Hanzi	Pinyin	Tone	Translation
95	玄	xuán	2	темный, таинственный
96	玉(王)	yù	4	яшма, нефрит
97	瓜	guā	1	тыква, дыня, огурец
98	瓦	wǎ	3	черепица
99	甘	gān	1	сладкий
100	生	shēng	1	родиться, сырой
101	用	yòng	4	использовать
102	田	tián	2	поле
103	疋	pǐ	3	рулон ткани, нога
104	疒	nè	4	болезнь
105	癶	bō	1	ноги врозь, спотыкаться
106	白	bái	2	белый
107	皮	pí	4	кожа, шкура
108	皿	mǐn	3	сосуд, посуда, тарелка
109	目	mù	4	глаз
110	矛	máo	2	копье
111	矢	shǐ	3	стрела
112	石	shí	2	камень
113	示(礻)	shì	4	алтарь, дух, показывать
114	禸	róu	2	след зверя, топтать
115	禾	hé	2	злак, рис на корню
116	穴	xué	2	пещера, нора
117	立	lì	4	стоять, устанавливать
