Hanzi	Pinyin	Tone	Translation
天气	tiānqì	14	погода
晴天	qíngtiān	21	ясно, солнечно
阴天	yīntiān	11	пасмурно
多云	duōyún	12	облачно
下雨	xià yǔ	43	идет дождь
下雪	xià xuě	43	идет снег
雾	wù	4	туман
热	rè	4	жарко
冷	lěng	3	холодно
暖和	nuǎnhuo	30	тепло, приятно
凉快	liángkuai	20	прохладно
