Number	Hanzi	Pinyin	Tone	Translation
195	魚(鱼)	yú	2	рыба
196	鳥(鸟)	niǎo	3	птица
197	鹵	lǔ	3	солончак, рассол
198	鹿	lù	4	олень
199	麥(麦)	mài	4	пшеница
200	麻	má	2	конопля, кунжут
