Number	Hanzi	Pinyin	Tone	Translation
61	心 (忄)	xīn	1	сердце
62	戈	gē	1	клевец, копье, алебарда
63	戶	hù	4	двор, одна створка ворот, дверь
64	手(扌)	shǒu	3	рука
65	支	zhī	1	ветка, поддерживать
66	攴(攵)	pū	1	бить, ударять
67	文	wén	2	знак, письменность, узор
68	斗	dǒu	3	ковш, доу(мера веса)
69	斤	jīn	1	топор
70	方	fāng	1	квадрат, сторона
71	无	wú	2	не, без
72	日	rì	4	солнце, день
73	曰	yuē	1	говорить
74	月	yuè	4	луна, месяц
75	木	mù	4	дерево
76	欠	qiàn	4	недоставать, зевать
77	止	zhǐ	3	останавливаться, стопа
78	歹	dǎi	3	злой
79	殳	shū	1	бамбуковая пика
80	毋	wú	2	нет, нельзя
81	比	bǐ	3	сравнивать
82	毛	máo	2	шерсть, волосы
83	氏	shì	4	род, клан
84	气	qì	4	воздух, пар
85	水(氵)	shuǐ	3	вода
86	火(灬)	huǒ	3	огонь
87	爪(爫)	zhǎo	3	когти
88	父	fù	4	отец
89	爻	yáo	2	 линии гексаграмм, перекрещивать, воздействие
90	爿	qiáng	2	доска, кровать (левая сторона), расщепленный бамбук
91	片	piàn	4	карточка, щепка
92	牙	yá	2	зуб, клык
93	牛	niú	2	корова, бык
94	犬(犭)	quǎn	3	собака
