Number	Hanzi	Pinyin	Tone	Translation
30	口	kǒu	3	рот
31	囗	wéi	2	граница, ограда, окружать
32	土	tǔ	3	земля
33	士	shì	4	ученый, воин
34	夂	zhǐ	3	шагать вперед, продвигаться
35	夊	suī	1	медленно идти, волочить ноги
36	夕	xī	1	вечер, закат
37	大	dà	4	большой
38	女	nǚ	3	женщина
39	子 	zǐ 	3	ребенок, сын
40	宀	mián	2	крыша
41	寸	cùn	4	вершок
42	小	xiǎo	3	маленький
43	尢	wāng	1	хромой
44	尸	shī	1	труп
45	屮	chè	4	росток
46	山	shān	1	гора
47	巛(川)	chuān	1	река, поток
48	工	gōng	1	труд, работа, мастерство
49	己	jǐ	3	сам, свой
50	巾	jīn	1	платок, полотенце, салфетка
51	干	gān	1	щит, сухой, вмешиваться
52	幺	yāo	1	младший, крошечный, нить
53	广	yǎn	3	навес, убежище
54	廴	yǐn	3	тянуться, двигаться вперед, тащить
55	廾	gǒng	3	сложенные руки
56	弋	yì	4	стрельба (из лука), охотиться
57	弓	gōng	1	лук (оружие)
58	彐(彑)	jì	4	голова свиньи, рыло
59	彡	shān	1	длинная шерсть, перья, узор
60	彳	chì	4	шаг левой ногой, идти
