Number	Hanzi	Pinyin	Tone	Translation
167	金(钅)	jīn	1	металл, золото
168	長(长)	cháng	2	длинный, расти
169	門(门)	mén	2	ворота, дверь
170	阜(阝)	fù	4	(слева), холм, насыпь
171	隶	lì	4	раб, подчиняться, достигать
172	隹	zhuī	1	короткохвостая птица
173	雨	yǔ	3	дождь
174	青	qīng	1	синий, зелёный, молодой
175	非	fēi	1	отрицание, не, не быть
