Number	Hanzi	Pinyin	Tone	Translation
147	見(见)	jiàn	4	видеть, смотреть
148	角	jiǎo	3	рог, угол
149	言(讠)	yán	2	слово, речь
150	谷	gǔ	3	долина
151	豆	dòu	4	боб, жертвенный сосуд
152	豕	shǐ	3	свинья
153	豸	zhì	4	единорог, барсук
154	貝(贝)	bèi	4	раковина, ценность
155	赤	chì	4	красный, обнаженный
156	走	zǒu	3	ходить, уходить
157	足	zú	2	ступня, нога
158	身	shēn	1	тело, туловище
159	車(车)	chē	1	машина, телега, повозка
160	辛	xīn	1	горький
161	辰	chén	2	знак Дракона, пятый, утро
162	辵(辶)	chuò	4	быстро идти
163	邑(阝)	yì	4	(справа), город, поселение
164	酉	yǒu	3	сосуд для вина, знак Петуха
165	釆	biàn	4	различать, сортировать
166	里	lǐ	3	деревня, верста, ли (мера длины)
