Number	Hanzi	Pinyin	Tone	Translation
187	馬(马)	mǎ	3	лошадь
188	骨	gǔ	3	кость
189	高	gāo	1	высокий
190	髟	biāo	1	длинные волосы
191	鬥	dòu	4	бой, битва, драка
192	鬯	chàng	4	ритуальное вино
193	鬲	lì	4	котел, треножник, глиняный горшок
194	鬼	guǐ	3	призрак, демон
